seller-sku	quantity	price	product-id
B00000JB2D	1	66.48	B00000JB2D
B00004R7IE	1	89.36	B00004R7IE
B00005L9N2	1	112.9	B00005L9N2
B000068HDJ	1	155.88	B000068HDJ
B000LE0THE	1	85.54	B000LE0THE
B000RFIQ22	1	335.07	B000RFIQ22
B000T4SI1K	1	257.63	B000T4SI1K
B0012V4WSM	1	80.49	B0012V4WSM
B0015FJFKA	1	335.07	B0015FJFKA
B0018KKQAU	1	112.51	B0018KKQAU
B0018KKQB4	1	120.23	B0018KKQB4
B001D3EXOM	1	79.26	B001D3EXOM
B001QBXFSG	1	140.09	B001QBXFSG
B002PK0JX6	1	106.29	B002PK0JX6
B003DTBHPM	1	104.82	B003DTBHPM
B003FGGEJM	1	73.25	B003FGGEJM
B005Y2X970	1	122.42	B005Y2X970
B008BDZP08	1	71.46	B008BDZP08
B009O9ZXFK	1	108.42	B009O9ZXFK
B00CN2MSJY	1	143.5	B00CN2MSJY
B00DI04OZQ	1	284.97	B00DI04OZQ
B00GGKVL56	1	77.64	B00GGKVL56
B00LTMQZA2	1	166.74	B00LTMQZA2
B00MV0FT4Y	1	77.98	B00MV0FT4Y
B015HV3VKW	1	322.78	B015HV3VKW
B015I9N0EU	1	85.3	B015I9N0EU
B01AXCP2CK	1	98.75	B01AXCP2CK
B01MG3C1D1	1	112.12	B01MG3C1D1
B01MYE0LV2	1	63.66	B01MYE0LV2
B06XNTSGR7	1	408.83	B06XNTSGR7
B06XYLKPSZ	1	129.64	B06XYLKPSZ
B071CT91PX	1	121.35	B071CT91PX
B07419VTNS	1	72.8	B07419VTNS
B0741C57S1	1	73.57	B0741C57S1
B0756S3D7J	1	82.67	B0756S3D7J
B0756V3HMQ	1	82.67	B0756V3HMQ
B075H8ZT4Z	1	82.67	B075H8ZT4Z
B075HB4XTT	1	82.67	B075HB4XTT
B075LN813Z	1	82.67	B075LN813Z
B077THGTGD	1	84.04	B077THGTGD
B07DKSSD42	1	125.09	B07DKSSD42
B07DTYWSLL	1	83.12	B07DTYWSLL
B07G8PXQ9K	1	119.36	B07G8PXQ9K
B07KSBSK4Z	1	94.14	B07KSBSK4Z
B07M712PKF	1	374.41	B07M712PKF
B07NGSS7KF	1	89.72	B07NGSS7KF
B07PKC8LZM	1	71.65	B07PKC8LZM
B07RZJYXBL	1	73.45	B07RZJYXBL
B081D7DSJJ	1	218.01	B081D7DSJJ
B084DZQJWY	1	311.84	B084DZQJWY
B085GHS7F8	1	161.54	B085GHS7F8
B08MQDCLWK	1	93.14	B08MQDCLWK
B091LHY8F1	1	70.92	B091LHY8F1
B09G7BBPKP	1	123.79	B09G7BBPKP
B09VXZW5LM	1	82.41	B09VXZW5LM
B0C25YTR9T	1	107.57	B0C25YTR9T
B0CGXNGYKN	1	77.78	B0CGXNGYKN
B0CJR1FYH2	1	64.89	B0CJR1FYH2
B0D65GJKYW	1	79.77	B0D65GJKYW
B0D9K624F9	1	292.47	B0D9K624F9
B0DWDGP365	1	153.44	B0DWDGP365
B0F1F1LGCQ	1	82.88	B0F1F1LGCQ
B0F1MTMKPT	1	133.23	B0F1MTMKPT
B0F4RSJ7YP	1	124.24	B0F4RSJ7YP
B0FG2K6GQW	1	98.73	B0FG2K6GQW
B0FHHFMKQ8	1	154.03	B0FHHFMKQ8
