seller-sku	quantity	price	product-id
B000000SON	1	80.76	B000000SON
B000006DEQ	1	67.25	B000006DEQ
B000007VS7	1	50.42	B000007VS7
B0000088TA	1	74.15	B0000088TA
B00000I78Q	1	72.62	B00000I78Q
B000026SWH	1	55.68	B000026SWH
B000026WL6	1	76.85	B000026WL6
B000026WP2	1	58.6	B000026WP2
B000034CKB	1	107.74	B000034CKB
B00003WG81	1	60.63	B00003WG81
B00004SDQ6	1	82.9	B00004SDQ6
B00004TZ88	1	62.89	B00004TZ88
B00004YYRG	1	65.46	B00004YYRG
B00005632R	1	81.27	B00005632R
B0000565XH	1	83.61	B0000565XH
B000056NOA	1	401.35	B000056NOA
B000058A78	1	75.04	B000058A78
B00005F6IN	1	57.59	B00005F6IN
B00005GAIE	1	104.48	B00005GAIE
B00005H09K	1	74.54	B00005H09K
B00005H0I7	1	57.17	B00005H0I7
B00005HNA6	1	82.52	B00005HNA6
B00005HQQU	1	67.07	B00005HQQU
B00005HVFU	1	72.07	B00005HVFU
B00005HXBN	1	68.56	B00005HXBN
B00005HXBQ	1	70.1	B00005HXBQ
B00005HYXO	1	85.73	B00005HYXO
B00005NJWZ	1	69.96	B00005NJWZ
B00005OLLK	1	66.02	B00005OLLK
B00005Q7CH	1	335.82	B00005Q7CH
B00005RUTF	1	64.44	B00005RUTF
B00005V8XH	1	62.51	B00005V8XH
B00005YX0M	1	74.4	B00005YX0M
B0000614UT	1	267.04	B0000614UT
B000063EGP	1	57.24	B000063EGP
B000068HWI	1	142.97	B000068HWI
B000069URM	1	160.31	B000069URM
B00007JMLK	1	62.07	B00007JMLK
B00007KWIS	1	80.43	B00007KWIS
B000083OEH	1	59.47	B000083OEH
B00008DDIS	1	87.24	B00008DDIS
B00009PN5P	1	84.66	B00009PN5P
B00009SF78	1	58.32	B00009SF78
B00009WASC	1	84.91	B00009WASC
B0000A14WC	1	67.56	B0000A14WC
B0000CBC4K	1	80.76	B0000CBC4K
B0000D8RVO	1	118.32	B0000D8RVO
B0000D9PKE	1	66.81	B0000D9PKE
B0000DJ299	1	82.99	B0000DJ299
B0000DJWL3	1	135.05	B0000DJWL3
B000136TV0	1	58.62	B000136TV0
B000197I6E	1	63.78	B000197I6E
B0001N1L0Y	1	89.04	B0001N1L0Y
B0001Y9YV6	1	353.19	B0001Y9YV6
B000244RSU	1	67.68	B000244RSU
B0002B58KY	1	65.64	B0002B58KY
B0002DV88I	1	398	B0002DV88I
B0002VETJ0	1	118.32	B0002VETJ0
B000657MP0	1	57.62	B000657MP0
B0006N2FMC	1	76.26	B0006N2FMC
B0006ZL2CY	1	124.16	B0006ZL2CY
B0007Q1PWO	1	110.58	B0007Q1PWO
