item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Handel: Organ Concertos, Opp. 4 & 7 [Audio CD]		0129HM7WJ8G	B000000SKA	116.77	1	2026-01-28 16:24:46 PST		y	1			11				B000000SKA						B000000SKA			0	DEFAULT	Migrated Template	Active
Boccherini: String Quartets Op. 32 [Audio CD] Luigi Boccherini and Quartetto Esterhazy		0129HM825AR	B000000SON	80.3	1	2026-01-28 16:24:46 PST		y	1			11				B000000SON						B000000SON			0	DEFAULT	Migrated Template	Active
Beethoven: Missa Solemnis & Mass in C Major [Audio CD] Beethoven, Ludwig van; Carlo Maria Giulini; London Philharmonic Orchestra; New Philharmonia Orchestra; Janet Baker; Elly Ameling; Heather Harper; Robert Tear and Theo Altmeyer		0129HM8CVGF	B000006DEQ	66.86	1	2026-01-28 16:24:46 PST		y	1			11				B000006DEQ						B000006DEQ			0	DEFAULT	Migrated Template	Active
Neon Genesis Evangelion - Death [Audio CD]		0129HM60WA7	B000007VS7	50.13	1	2026-01-28 16:24:46 PST		y	1			11				B000007VS7						B000007VS7			0	DEFAULT	Migrated Template	Active
Motel Shot [Audio CD] Delaney & Bonnie		0120HSCYTTU	B0000088TA	73.72	1	2026-01-20 01:10:21 PST		y	1			11				B0000088TA						B0000088TA			0	DEFAULT	Migrated Template	Active
Birthday [Audio CD]		0129HM8GTTO	B00000I78Q	72.21	1	2026-01-28 16:24:46 PST		y	1			11				B00000I78Q						B00000I78Q			0	DEFAULT	Migrated Template	Active
Believe [Audio CD] HAREM SCAREM		0129HM3NQPV	B000026SWH	55.36	1	2026-01-28 16:24:46 PST		y	1			11				B000026SWH						B000026SWH			0	DEFAULT	Migrated Template	Active
Big Hits & Jetlags: 1991-1995 [Audio CD] PIZZICATO FIVE		0129HM8HYQ7	B000026WL6	83.66	1	2026-01-28 16:24:46 PST		y	1			11				B000026WL6						B000026WL6			0	DEFAULT	Migrated Template	Active
Genso Suikoden II 2 [Audio CD] Miki Higashino		0129HM855WX	B000026WP2	57.11	1	2026-01-28 16:24:46 PST		y	1			11				B000026WP2						B000026WP2			0	DEFAULT	Migrated Template	Active
Pocket Monster Sound Anime Collection [Audio CD] ANIMATION		0120HRR8SI0	B000034CKB	107.13	1	2026-01-20 01:10:21 PST		y	1			11				B000034CKB						B000034CKB			0	DEFAULT	Migrated Template	Active
Bali [Audio CD] Jalan Jalan		0129HM3ID06	B00003WG81	60.29	1	2026-01-28 16:24:46 PST		y	1			11				B00003WG81						B00003WG81			0	DEFAULT	Migrated Template	Active
Little Bit Of Something [Audio CD] GUERRERO,TOMMY		0131HVNX9GU	B00004SDQ6	82.43	1	2026-01-31 03:56:41 PST		y	1			11				B00004SDQ6						B00004SDQ6			0	DEFAULT	Migrated Template	Active
Turn A Gundam Original Soundtrack 3 [Audio CD] Japanimation and Yoko Kanno		0129HM8I4OI	B00004TZ88	62.54	1	2026-01-28 16:24:46 PST		y	1			11				B00004TZ88						B00004TZ88			0	DEFAULT	Migrated Template	Active
Verdi: Otello [Audio CD] Verdi, Giuseppe; Franco Capuana; Orchestra Sinfonica di Torino della RAI Radiotelevisione; RAI Symphony Ochestra, Turin; Alberto Albertini; Angelo Mercuriali; Carlos Guichandut; Cesy Broggini; Giuseppe Taddei; Marco Stefanoni; Rina Corsi and Tommaso Soley		0120HSGMIMU	B00004YYRG	65.09	1	2026-01-20 01:52:46 PST		y	1			11				B00004YYRG						B00004YYRG			0	DEFAULT	Migrated Template	Active
Music [Audio CD] Madonna		1218FX8VJO9	B000051T35	80.32	1	2025-12-17 16:39:18 PST		y	1			11				B000051T35						B000051T35			0	DEFAULT	Venesplo_2601	Active
