asin,status,error_message,jp_lowest_price_y,us_lowest_price_d,us_lowest_price_y,ca_lowest_price_d,ca_lowest_price_y,us_existence,ca_existence,Sales_Category,length,width,height,total_size,actual_weight,dim_weight,chargeable_weight,jp_shipping_fee,us_shipping_fee,ca_shipping_fee,MyUS_shipping_fee,jp_sourcing_price,jp_sourcing_fulfillment,jp_sourcing_buybox,jp_sourcing_handling_days,jp_sourcing_feedback_count,jp_sourcing_feedback_percent,us_target_price_d,us_target_price_y,us_is_profitable,ca_target_price_d,ca_target_price_y,ca_is_profitable
1733146679,success,,29650.0,87.5,14014.0,204.83,23601.0,1,1,輸入向き,24.099999975417997,19.799999979804003,2.8999999970420003,46.799999952264,929.999240609467,276.76439915310095,929.999240609467,1010.0,4088.0,4088.0,4524.5199999999995,17521.0,FBA,0,,490141.0,100.0,224.86888111888112,36015.0,0,288.5240720817644,33244.61538461539,0
1119990726,success,,11966.0,49.5,7927.0,80.37,9260.0,1,1,輸入向き,24.993599974506527,17.703799981942122,3.9115999960101684,46.60899995245882,929.999240609467,346.16227910512106,929.999240609467,1010.0,4088.0,4088.0,4524.5199999999995,7927.0,FBA,1,,384.0,91.0,125.03121878121878,20025.0,0,160.4246714823638,18484.615384615387,0
B0000223IY,success,,39136.0,384.02,61504.0,398.0,45858.0,1,1,輸出向き,41.24824995792679,25.399999974091998,22.493743727056383,89.14199365907517,7256.994074304197,4713.364019007669,7256.994074304197,1540.0,10897.0,10897.0,11119.908800000001,39136.0,FBA,1,0.0,0.0,0.0,520.656426906427,83388.33333333334,0,668.0422462153232,76973.84615384617,0
B000R5I7I0,error,安全な仕入先なし,,,,,,0,0,None,,,,,,,,,,,,,,0,,,,,,0,,,0
B001ASC78E,success,,52548.0,509.99,81679.0,539.0,62105.0,1,1,輸出向き,66.80199993186196,49.14899994986802,17.983199981657137,133.9341998633871,12813.989536741627,11808.67363163218,12813.989536741627,2110.0,18966.0,18966.0,16424.408,52548.0,FBA,1,0.0,0.0,0.0,744.1933066933067,119190.0,0,954.857258126489,110021.53846153848,0
B000F1IP7O,success,,17846.0,152.18,24373.0,,,1,1,輸出向き(競合なし),19.199999980416,14.199999985516,3.199999996736,36.599999962667994,322.05973702224196,174.4895994660618,322.05973702224196,1010.0,3639.0,3639.0,4005.6016,17846.0,FBA,1,,0.0,0.0,223.57850482850486,35808.333333333336,0,,,0
1498728138,success,,23100.0,124.09,19874.0,226.39,26085.0,1,1,双方向,31.089599968288606,23.799799975724206,9.39799999041404,64.28739993442684,1609.9986853561743,1390.7653979498257,1609.9986853561743,1250.0,4666.0,4666.0,5523.9184000000005,29081.0,FBM,0,2.0,11252.0,80.0,351.1800699300699,56245.0,0,450.59104357181286,51918.461538461546,0
B0002F57W4,error,安全な仕入先なし,,,,,,0,0,None,,,,,,,,,,,,,,0,,,,,,0,,,0
B000K81M2M,success,,12000.0,,,,,1,0,輸出向き(競合なし),27.99999997144,21.899999977662002,14.599999985108,64.49999993421,849.999305933384,1790.5439945209355,1790.5439945209355,1250.0,4666.0,4666.0,5523.9184000000005,15400.0,FBM,0,1.0,972.0,87.0,,,0,,,0
B000QJ6S06,error,安全な仕入先なし,,,,,,0,0,None,,,,,,,,,,,,,,0,,,,,,0,,,0
