Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-04-14T03:41:26.498Z,SALE,13-14496-96518,calgaryrhonda,359.99,50.29,0.44,4.75,55.48,304.51,USD,FUNDS_ON_HOLD,Funds available within 24 hours of order delivery
2026-04-11T13:44:20.008Z,SALE,01-14502-85044,asadikovic,129.99,19.25,0.44,1.82,21.51,108.48,USD,FUNDS_ON_HOLD,"Funds available within 24 hours of order delivery, Estimated release on Apr 28"
2026-04-08T15:25:32.084Z,NON_SALE_CHARGE,,,0,0,0,0,0,22.74,USD,PAYOUT,Promoted Listings - General fee
2026-04-08T15:21:43.762Z,SALE,27-14450-95719,charl-bisse,389.99,57.75,0.44,5.46,63.65,326.34,USD,FUNDS_ON_HOLD,"Funds available within 24 hours of order delivery, Estimated release on Apr 27"
2026-04-06T17:30:36.462Z,SALE,19-14453-77496,tayloeade0,229.99,35.27,0.44,3.33,39.04,190.95,USD,PAYOUT,
2026-04-06T02:07:39.112Z,NON_SALE_CHARGE,,,0,0,0,0,0,8.93,USD,PAYOUT,Promoted Listings - General fee
2026-04-06T02:02:06.654Z,SALE,26-14440-71841,julicarte-96,149.99,22.68,0.44,2.14,25.26,124.73,USD,PAYOUT,
2026-04-05T22:08:36.336Z,NON_SALE_CHARGE,,,0,0,0,0,0,8.8,USD,PAYOUT,Promoted Listings - General fee
2026-04-05T22:02:57.050Z,SALE,09-14464-41816,ke_4190369,149.99,22.34,0.44,2.11,24.89,125.1,USD,FUNDS_AVAILABLE_FOR_PAYOUT,
2026-04-04T03:55:14.682Z,NON_SALE_CHARGE,,,0,0,0,0,0,14.82,USD,PAYOUT,Promoted Listings - General fee
2026-04-04T03:50:08.070Z,SALE,13-14452-04831,thebestnullcards,250,37.63,0.44,3.55,41.62,208.38,USD,FUNDS_AVAILABLE_FOR_PAYOUT,
2026-04-02T21:14:46.928Z,SALE,04-14459-62947,castelblanco2z2c,298.11,44.56,0.44,4.21,49.21,248.9,USD,PAYOUT,
2026-04-02T21:02:39.117Z,ADJUSTMENT,,,0,0,0,0,0,0.03,USD,PAYOUT,TAX Only Credit
2026-04-01T17:31:02.005Z,NON_SALE_CHARGE,,,0,0,0,0,0,65.95,USD,PAYOUT,2026-03-31 - 2026-04-29
2026-04-01T16:09:29.833Z,NON_SALE_CHARGE,,,0,0,0,0,0,11.09,USD,PAYOUT,Promoted Listings - General fee
2026-04-01T16:05:32.966Z,SALE,10-14444-89541,tedav8944,190.21,28.17,0.44,2.66,31.27,158.94,USD,PAYOUT,
2026-03-31T20:59:37.913Z,NON_SALE_CHARGE,,,0,0,0,0,0,7.62,USD,PAYOUT,Promoted Listings - General fee
2026-03-31T20:56:25.874Z,SALE,07-14446-37830,jechra-0,129.99,19.36,0.44,2.06,21.86,108.13,USD,PAYOUT,
2026-03-31T00:31:15.313Z,NON_SALE_CHARGE,,,0,0,0,0,0,19.05,USD,PAYOUT,Promoted Listings - General fee
2026-03-31T00:28:56.912Z,SALE,06-14444-05433,arr_36949,319.99,48.39,0.44,5.15,53.98,266.01,USD,PAYOUT,
