Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-06-01T16:39:30.940Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,65.95,USD,FUNDS_AVAILABLE_FOR_PAYOUT,2026-05-31 - 2026-06-29
2026-05-31T03:49:58.641Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,3.31,USD,FUNDS_AVAILABLE_FOR_PAYOUT,Promoted Listings - General fee
2026-05-31T03:46:11.918Z,SALE,11-14705-37115,kitbro,139.99,21.02,0.44,1.99,23.45,116.54,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-31T02:55:27.073Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,4.84,USD,FUNDS_AVAILABLE_FOR_PAYOUT,Promoted Listings - General fee
2026-05-31T02:51:27.514Z,SALE,19-14692-63596,eng.m-49,219.99,30.73,0.44,2.9,34.07,185.92,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-30T14:47:54.143Z,SALE,14-14698-31620,jr970180,309.99,51.96,0.44,4.91,57.31,252.68,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-30T12:43:59.153Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,6.36,USD,FUNDS_AVAILABLE_FOR_PAYOUT,Promoted Listings - General fee
2026-05-30T04:35:23.846Z,SALE,24-14695-85934,katherinehook,269.99,40.35,0.44,3.82,44.61,225.38,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-29T20:43:19.325Z,SALE,12-14698-96511,alrichie--0,139.99,21.32,0.44,2.01,23.77,116.22,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-29T07:26:53.132Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,8.16,USD,FUNDS_AVAILABLE_FOR_PAYOUT,Promoted Listings - General fee
2026-05-29T07:23:30.775Z,SALE,13-14694-93472,jaagdijot,339.99,51.82,0.44,4.9,57.16,282.83,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-27T13:03:10.197Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,5.72,USD,FUNDS_AVAILABLE_FOR_PAYOUT,Promoted Listings - General fee
2026-05-27T04:46:41.349Z,SALE,04-14700-03940,selvesagl0,259.99,36.32,0.44,3.43,40.19,219.8,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-26T13:18:39.973Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,2.86,USD,FUNDS_AVAILABLE_FOR_PAYOUT,Promoted Listings - General fee
2026-05-25T20:28:44.011Z,SALE,15-14676-14313,smith_aint_goin_nowhere,129.99,18.16,0.44,1.72,20.32,109.67,USD,FUNDS_ON_HOLD,Funds available within 2 days of order delivery
2026-05-22T05:02:57.453Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,4.18,USD,PAYOUT,Promoted Listings - General fee
2026-05-22T04:58:37.614Z,SALE,13-14665-31872,janoya-0,189.99,26.54,0.44,2.51,29.49,160.5,USD,PAYOUT,
2026-05-21T12:33:27.952Z,SALE,06-14673-09249,nuttyputty*,239.99,33.53,0.44,3.17,37.14,202.85,USD,PAYOUT,
2026-05-20T14:13:40.682Z,SALE,18-14650-04228,saphi_1351,229.99,32.13,0.44,3.04,35.61,194.38,USD,PAYOUT,
2026-05-20T03:06:43.595Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,3.64,USD,PAYOUT,Promoted Listings - General fee
2026-05-20T03:02:56.264Z,SALE,25-14637-44881,bulaceno1,149.99,23.15,0.44,2.19,25.78,124.21,USD,PAYOUT,
2026-05-18T12:55:53.898Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,3.96,USD,PAYOUT,Promoted Listings - General fee
2026-05-17T22:27:48.334Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,6.91,USD,PAYOUT,Promoted Listings - General fee
2026-05-17T22:23:57.674Z,SALE,04-14660-15893,andover0915,299.99,43.88,0.44,4.15,48.47,251.52,USD,PAYOUT,
2026-05-17T17:29:59.144Z,SALE,13-14644-93913,hector202022,179.99,25.15,0.44,2.38,27.97,152.02,USD,PAYOUT,
2026-05-16T13:05:14.527Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,6.38,USD,PAYOUT,Promoted Listings - General fee
2026-05-15T07:31:27.679Z,SALE,07-14644-75682,myre28,289.99,40.51,0.44,3.83,44.78,245.21,USD,PAYOUT,
2026-05-14T15:40:08.774Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,4.3,USD,PAYOUT,Promoted Listings - General fee
2026-05-14T15:35:39.184Z,SALE,10-14636-81477,ela_85146,179.99,27.34,0.44,2.58,30.36,149.63,USD,PAYOUT,
2026-05-14T05:07:22.313Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.0,USD,PAYOUT,Promoted Listings - General fee
2026-05-14T05:04:08.046Z,SALE,21-14617-96506,dr_58889,299.99,44.42,0.44,4.2,49.06,250.93,USD,PAYOUT,
2026-05-11T12:29:02.725Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.6,USD,PAYOUT,Promoted Listings - General fee
2026-05-11T01:40:37.110Z,SALE,20-14605-39355,krystalynoxox,329.99,48.27,0.44,4.56,53.27,276.72,USD,PAYOUT,
2026-05-10T13:27:16.201Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,6.18,USD,PAYOUT,Promoted Listings - General fee
2026-05-09T14:59:12.522Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,3.51,USD,PAYOUT,Promoted Listings - General fee
2026-05-09T14:54:57.570Z,SALE,26-14589-83234,havnfun9273,149.99,22.32,0.44,2.11,24.87,125.12,USD,PAYOUT,
2026-05-09T14:19:41.074Z,SALE,24-14607-57147,isch9474,259.99,39.23,0.44,3.71,43.38,216.61,USD,PAYOUT,
2026-05-08T23:47:58.872Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,8.26,USD,PAYOUT,Promoted Listings - General fee
2026-05-08T23:44:30.849Z,SALE,06-14618-67148,rac-8986,349.99,52.44,0.44,4.95,57.83,292.16,USD,PAYOUT,
2026-05-08T00:35:36.967Z,CREDIT,07-14516-37175,rubbrow-37,0.0,0.0,0.0,0.0,0.0,310.0,USD,PAYOUT,
2026-05-08T00:34:29.970Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.28,USD,PAYOUT,Promoted Listings - General fee
2026-05-08T00:28:20.138Z,REFUND,07-14516-37175,rubbrow-37,310.0,46.23,0.0,4.37,50.6,259.4,USD,PAYOUT,
2026-05-07T04:40:48.599Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.21,USD,PAYOUT,Promoted Listings - General fee
2026-05-07T04:37:16.752Z,SALE,24-14597-63209,diantyrre-0,299.99,45.78,0.44,4.32,50.54,249.45,USD,PAYOUT,
2026-05-02T05:26:53.353Z,ADJUSTMENT,,,0.0,0.0,0.0,0.0,0.0,0.01,USD,PAYOUT,TAX Only Credit
2026-05-02T05:26:44.232Z,ADJUSTMENT,,,0.0,0.0,0.0,0.0,0.0,0.04,USD,PAYOUT,TAX Only Debit
2026-05-01T16:26:55.613Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,65.95,USD,PAYOUT,2026-04-30 - 2026-05-30
2026-04-30T12:57:09.748Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.29,USD,PAYOUT,Promoted Listings - General fee
2026-04-30T09:36:49.169Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,4.11,USD,PAYOUT,Promoted Listings - General fee
2026-04-30T09:31:10.681Z,SALE,01-14587-92582,jcbrow_55,187.0,26.12,0.44,2.46,29.02,157.98,USD,PAYOUT,
2026-04-30T00:07:12.276Z,SALE,16-14562-88874,jashue_65,309.99,46.33,0.44,4.38,51.15,258.84,USD,PAYOUT,
2026-04-24T08:59:36.169Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,4.4,USD,PAYOUT,Promoted Listings - General fee
2026-04-24T08:56:19.179Z,SALE,27-14521-81464,veiluha-0,199.99,27.94,0.44,2.64,31.02,168.97,USD,PAYOUT,
2026-04-23T19:19:20.129Z,CREDIT,21-14388-34980,ksfashion,0.0,0.0,0.0,0.0,0.0,109.99,USD,PAYOUT,
2026-04-23T11:24:31.474Z,SALE,07-14547-80009,nemi_4262,299.99,44.64,0.44,4.21,49.29,250.7,USD,PAYOUT,
2026-04-22T12:31:34.453Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,5.98,USD,PAYOUT,Promoted Listings - General fee
2026-04-21T19:24:02.939Z,DISPUTE,07-14516-37175,rubbrow-37,0.0,0.0,0.0,0.0,0.0,310.0,USD,PAYOUT,
2026-04-21T07:05:49.800Z,SALE,07-14538-03079,fres-6596,249.99,37.98,0.44,3.59,42.01,207.98,USD,PAYOUT,
2026-04-17T13:19:50.512Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.28,USD,PAYOUT,Promoted Listings - General fee
2026-04-17T12:56:42.529Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,7.62,USD,PAYOUT,Promoted Listings - General fee
2026-04-17T06:31:08.227Z,SALE,18-14503-35897,ommart5263,319.99,48.39,0.44,4.58,53.41,266.58,USD,PAYOUT,
2026-04-17T01:45:02.181Z,SALE,22-14496-78247,li_1500101,249.99,38.32,0.44,3.62,42.38,207.61,USD,PAYOUT,
2026-04-16T13:01:23.845Z,SALE,07-14516-37175,rubbrow-37,310.0,46.23,0.44,4.37,51.04,258.96,USD,PAYOUT,
2026-04-14T20:22:45.560Z,CREDIT,21-14365-25100,joa6322,0.0,0.0,0.0,0.0,0.0,359.29,USD,PAYOUT,
2026-04-13T15:04:59.268Z,SALE,06-14504-16348,veiluha-0,260.0,36.32,0.44,3.43,40.19,219.81,USD,PAYOUT,
2026-04-12T02:04:07.935Z,SALE,10-14490-90818,pacific_group,189.99,26.54,0.44,2.51,29.49,160.5,USD,PAYOUT,
2026-04-07T04:43:52.564Z,SALE,05-14477-14244,sxlu12,249.99,37.02,0.44,3.5,40.96,209.03,USD,PAYOUT,
2026-04-06T12:59:48.665Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,5.74,USD,PAYOUT,Promoted Listings - General fee
